source__target,mouse,marmoset,rhesus,human
BG_Pallidum__TEM_Inferior,0,0.004694381,0.009387096,0.004694381
BG_Pallidum__OLF_Piriform,0.004694381,0.009387096,0,0
BG_Pallidum__INS_Anterior,0.009387096,0,0.014078196,0.037511313
BG_Pallidum__OLF_Anterior,0.014078196,0.014078196,0.018767735,0.009387096
INS_Anterior__OLF_Piriform,0.018767735,0.037511313,0.004694381,0.0328275
TEM_Inferior__INS_Anterior,0.023455763,0.102971547,0.093630341,0.294537162
BG_Pallidum__TEM_Superior,0.028142334,0.023455763,0.037511313,0.088958738
TEM_Inferior__OLF_Piriform,0.0328275,0.233689436,0.028142334,0.028142334
INS_Anterior__TEM_Inferior,0.037511313,0.0328275,0.112310427,0.191654538
BG_Pallidum__TEM_Medial,0.042193825,0.042193825,0.042193825,0.070264464
BG_Accumbens__TEM_Inferior,0.046875087,0.163650894,0.135650126,0.051555151
BG_Pallidum__FRO_Prefrontal,0.051555151,0.060911893,0.079613276,0.074939314
OLF_Anterior__TEM_Inferior,0.056234069,0.275792778,0.144984073,0.0842864
OLF_Anterior__OLF_Piriform,0.060911893,0.200991623,0.023455763,0.014078196
TEM_Inferior__OLF_Anterior,0.065588675,0.238363522,0.168317672,0.079613276
BG_Pallidum__INS_Posterior,0.070264464,0.018767735,0.056234069,0.042193825
BG_Pallidum__CIN_Posterior,0.074939314,0.051555151,0.060911893,0.056234069
BG_Pallidum__CIN_Anterior,0.079613276,0.056234069,0.0328275,0.060911893
BG_Pallidum__TEM_Hippocampus,0.0842864,0.065588675,0.070264464,0.093630341
BG_Pallidum__OCC_Lateral,0.088958738,0.046875087,0.046875087,0.065588675
TEM_Superior__OLF_Piriform,0.093630341,0.407631956,0.0842864,0.13098284
BG_Pallidum__OCC_Medial,0.09830126,0.074939314,0.09830126,0.09830126
FRO_Prefrontal__OLF_Piriform,0.102971547,0.332102115,0.102971547,0.107641252
BG_Pallidum__FRO_Premotor,0.107641252,0.070264464,0.051555151,0.046875087
BG_CaudoPutamen__TEM_Inferior,0.112310427,0.37451243,0.257069335,0.210330656
TEM_Inferior__INS_Posterior,0.116979122,0.285162144,0.341511684,0.257069335
BG_Accumbens__INS_Anterior,0.121647389,0.088958738,0.088958738,0.280476781
BG_Pallidum__BG_Accumbens,0.126315278,0.028142334,0.107641252,0.023455763
TEM_Inferior__BG_Accumbens,0.13098284,0.243038503,0.546527868,0.313305821
TEM_Amygdala__TEM_Inferior,0.135650126,0.229016196,0.20566087,0.261748414
OLF_Piriform__TEM_Inferior,0.140317187,0.336805904,0.163650894,0.144984073
BG_Pallidum__THL_Thalamus,0.144984073,0.093630341,0.154317527,0.126315278
BG_Pallidum__FRO_Precentral,0.149650837,0.079613276,0.121647389,0.102971547
FRO_Premotor__OLF_Piriform,0.154317527,0.379236082,0.13098284,0.121647389
CIN_Anterior__OLF_Piriform,0.158984196,0.450419231,0.065588675,0.149650837
BG_CaudoPutamen__OLF_Piriform,0.163650894,0.431371943,0.116979122,0.158984196
INS_Posterior__OLF_Piriform,0.168317672,0.266428646,0.074939314,0.186986598
BG_Pallidum__PAR,0.17298458,0.09830126,0.17298458,0.140317187
THL_Hypothalamus__TEM_Inferior,0.17765167,0.252391358,0.252391358,0.365072342
FRO_Precentral__OLF_Piriform,0.182318993,0.34621951,0.126315278,0.112310427
INS_Anterior__BG_Accumbens,0.186986598,0.121647389,0.247714431,0.421867072
INS_Anterior__OLF_Anterior,0.191654538,0.0842864,0.140317187,0.20566087
TEM_Inferior__FRO_Premotor,0.196322863,0.436128987,0.322700303,0.229016196
OLF_Piriform__INS_Anterior,0.200991623,0.144984073,0.200991623,0.541683547
TEM_Inferior__BG_Pallidum,0.20566087,0.308611197,0.365072342,0.308611197
TEM_Inferior__THL_Hypothalamus,0.210330656,0.294537162,0.369791201,0.21500103
TEM_Amygdala__INS_Anterior,0.21500103,0.13098284,0.182318993,0.879617747
BG_Accumbens__OLF_Piriform,0.219672044,0.469519637,0.149650837,0.018767735
TEM_Inferior__FRO_Precentral,0.224343749,0.402892611,0.47909092,0.266428646
TEM_Inferior__FRO_Prefrontal,0.229016196,0.498278001,0.580568411,0.398156019
PAR__OLF_Piriform,0.233689436,0.52235026,0.186986598,0.135650126
INS_Posterior__TEM_Inferior,0.238363522,0.527177107,0.488676883,0.29922692
BG_Pallidum__THL_Hypothalamus,0.243038503,0.107641252,0.196322863,0.168317672
TEM_Inferior__CIN_Anterior,0.247714431,0.493475518,0.303918248,0.383962212
FRO_Prefrontal__TEM_Inferior,0.252391358,0.590338097,0.536843688,0.464739354
THL_Hypothalamus__OLF_Piriform,0.257069335,0.556230151,0.158984196,0.17765167
TEM_Inferior__TEM_Superior,0.261748414,1.262945892,0.565951046,0.436128987
OLF_Anterior__INS_Anterior,0.266428646,0.186986598,0.219672044,0.341511684
CIN_Posterior__OLF_Piriform,0.271110084,0.464739354,0.17765167,0.116979122
TEM_Inferior__PAR,0.275792778,0.532008229,0.669277055,0.393422126
THL_Thalamus__OLF_Piriform,0.280476781,0.575691066,0.191654538,0.163650894
TEM_Inferior__BG_CaudoPutamen,0.285162144,0.483882037,0.570818633,0.459962563
BG_Accumbens__INS_Posterior,0.289848921,0.257069335,0.332102115,0.247714431
BG_CaudoPutamen__INS_Anterior,0.294537162,0.210330656,0.280476781,0.74472647
TEM_Superior__TEM_Inferior,0.29922692,1.807123869,0.916991304,0.575691066
TEM_Inferior__TEM_Amygdala,0.303918248,0.383962212,0.59523057,0.303918248
THL_Hypothalamus__INS_Anterior,0.308611197,0.182318993,0.224343749,1.112382887
BG_CaudoPutamen__OLF_Anterior,0.313305821,0.546527868,0.285162144,0.224343749
OCC_Medial__OLF_Piriform,0.318002172,0.565951046,0.210330656,0.154317527
BG_Pallidum__TEM_Amygdala,0.322700303,0.126315278,0.243038503,0.200991623
TEM_Hippocampus__INS_Anterior,0.327400266,0.271110084,0.29922692,1.419072522
INS_Anterior__THL_Hypothalamus,0.332102115,0.21500103,0.275792778,0.69927443
FRO_Premotor__TEM_Inferior,0.336805904,0.629626587,0.659328531,0.469519637
TEM_Amygdala__OLF_Anterior,0.341511684,0.303918248,0.229016196,0.275792778
INS_Anterior__TEM_Superior,0.34621951,0.116979122,0.336805904,0.85847829
OCC_Lateral__OLF_Piriform,0.350929435,0.61977192,0.233689436,0.17298458
OLF_Piriform__TEM_Superior,0.355641513,0.654363425,0.350929435,0.669277055
CIN_Anterior__TEM_Inferior,0.360355797,0.709326155,0.455189209,0.532008229
TEM_Amygdala__OLF_Piriform,0.365072342,0.74472647,0.21500103,0.233689436
TEM_Inferior__CIN_Posterior,0.369791201,0.580568411,0.609939313,0.360355797
TEM_Inferior__THL_Thalamus,0.37451243,0.600128219,0.775356736,0.551376715
BG_Accumbens__TEM_Superior,0.379236082,0.280476781,0.379236082,0.402892611
TEM_Superior__INS_Anterior,0.383962212,0.219672044,0.355641513,1.833265732
TEM_Hippocampus__OLF_Piriform,0.388690875,0.664299716,0.238363522,0.182318993
OLF_Piriform__INS_Posterior,0.393422126,0.417119131,0.294537162,0.47909092
FRO_Precentral__TEM_Inferior,0.398156019,0.704296916,0.654363425,0.455189209
TEM_Medial__INS_Anterior,0.402892611,0.261748414,0.37451243,1.313571193
OLF_Anterior__TEM_Superior,0.407631956,0.56108824,0.388690875,0.493475518
INS_Anterior__TEM_Medial,0.412374111,0.135650126,0.360355797,0.78562904
BG_Accumbens__FRO_Premotor,0.417119131,0.360355797,0.318002172,0.219672044
TEM_Superior__BG_Accumbens,0.421867072,0.412374111,1.049274448,1.004409165
TEM_Inferior__OCC_Medial,0.426617991,0.669277055,0.754906126,0.474303473
TEM_Amygdala__INS_Posterior,0.431371943,0.455189209,0.649404327,0.801098183
INS_Anterior__TEM_Amygdala,0.436128987,0.247714431,0.327400266,0.890245592
THL_Hypothalamus__OLF_Anterior,0.440889178,0.421867072,0.271110084,0.407631956
INS_Anterior__FRO_Prefrontal,0.445652574,0.158984196,0.450419231,0.816642269
INS_Anterior__INS_Posterior,0.450419231,0.112310427,0.412374111,0.649404327
PAR__TEM_Inferior,0.455189209,0.998858005,0.821840705,0.614852893
OLF_Anterior__INS_Posterior,0.459962563,0.541683547,0.313305821,0.318002172
BG_Accumbens__TEM_Medial,0.464739354,0.341511684,0.398156019,0.350929435
INS_Posterior__BG_Accumbens,0.469519637,0.488676883,1.026738728,0.659328531
TEM_Medial__OLF_Piriform,0.474303473,0.765115991,0.266428646,0.196322863
BG_Accumbens__FRO_Precentral,0.47909092,0.369791201,0.474303473,0.252391358
BG_Accumbens__FRO_Prefrontal,0.483882037,0.398156019,0.527177107,0.388690875
BG_Accumbens__CIN_Anterior,0.488676883,0.393422126,0.289848921,0.336805904
INS_Anterior__CIN_Posterior,0.493475518,0.149650837,0.417119131,0.754906126
TEM_Hippocampus__OLF_Anterior,0.498278001,0.790777242,0.469519637,0.527177107
OLF_Anterior__TEM_Medial,0.503084394,0.82704783,0.407631956,0.431371943
OLF_Piriform__CIN_Posterior,0.507894755,0.684246722,0.436128987,0.59523057
CIN_Posterior__TEM_Inferior,0.512709146,0.729512192,0.801098183,0.536843688
TEM_Inferior__OCC_Lateral,0.517527627,0.85847829,0.8955744,0.600128219
OLF_Anterior__BG_Accumbens,0.52235026,0.585450732,0.308611197,0.243038503
INS_Anterior__TEM_Hippocampus,0.527177107,0.168317672,0.445652574,0.90091327
INS_Anterior__OCC_Lateral,0.532008229,0.140317187,0.393422126,0.780488901
OLF_Piriform__OCC_Lateral,0.536843688,0.811452431,0.402892611,0.605031111
BG_Accumbens__OLF_Anterior,0.541683547,0.659328531,0.34621951,0.322700303
BG_Accumbens__PAR,0.546527868,0.503084394,0.664299716,0.355641513
INS_Posterior__OLF_Anterior,0.551376715,0.69425862,0.56108824,0.332102115
OLF_Anterior__THL_Hypothalamus,0.556230151,0.551376715,0.644451166,0.238363522
BG_CaudoPutamen__TEM_Superior,0.56108824,0.842722268,0.92776225,0.943999243
BG_Accumbens__CIN_Posterior,0.565951046,0.388690875,0.498278001,0.327400266
THL_Thalamus__TEM_Inferior,0.570818633,0.943999243,0.884926742,0.674260619
TEM_Superior__OLF_Anterior,0.575691066,0.570818633,0.585450732,0.634562366
BG_Accumbens__TEM_Hippocampus,0.580568411,0.426617991,0.517527627,0.440889178
FRO_Prefrontal__INS_Anterior,0.585450732,0.29922692,0.869028914,1.365570061
TEM_Superior__THL_Hypothalamus,0.590338097,0.609939313,0.90091327,1.015548704
BG_Accumbens__OCC_Lateral,0.59523057,0.350929435,0.426617991,0.34621951
INS_Anterior__OCC_Medial,0.600128219,0.17765167,0.493475518,0.906262307
OLF_Piriform__OCC_Medial,0.605031111,0.739647765,0.507894755,0.69425862
TEM_Amygdala__TEM_Superior,0.609939313,0.47909092,0.684246722,1.100779137
OLF_Anterior__CIN_Posterior,0.614852893,0.906262307,0.512709146,0.412374111
THL_Hypothalamus__INS_Posterior,0.61977192,0.512709146,0.78562904,1.02113734
TEM_Medial__OLF_Anterior,0.624696461,0.770232462,0.614852893,0.503084394
OCC_Medial__TEM_Inferior,0.629626587,0.933163727,0.943999243,0.644451166
OLF_Anterior__TEM_Hippocampus,0.634562366,0.96033562,0.532008229,0.517527627
CIN_Posterior__INS_Anterior,0.639503869,0.355641513,0.459962563,1.590164429
OLF_Anterior__OCC_Lateral,0.644451166,0.837488517,0.440889178,0.426617991
OCC_Lateral__INS_Anterior,0.649404327,0.327400266,0.431371943,1.509605593
BG_Pallidum__BG_CaudoPutamen,0.654363425,0.224343749,0.383962212,0.379236082
BG_Accumbens__OCC_Medial,0.659328531,0.440889178,0.551376715,0.445652574
INS_Anterior__CIN_Anterior,0.664299716,0.154317527,0.421867072,0.775356736
TEM_Hippocampus__INS_Posterior,0.669277055,0.971283286,1.165363144,1.256708385
BG_CaudoPutamen__TEM_Medial,0.674260619,1.004409165,0.96033562,0.884926742
TEM_Amygdala__FRO_Premotor,0.679250484,0.614852893,0.624696461,0.729512192
OCC_Lateral__TEM_Inferior,0.684246722,1.049274448,1.032352998,0.709326155
BG_CaudoPutamen__FRO_Prefrontal,0.689249409,1.094999442,1.083483652,0.916991304
OLF_Piriform__BG_Accumbens,0.69425862,0.760007241,0.600128219,0.271110084
CIN_Posterior__BG_Accumbens,0.69927443,0.734576366,1.213577983,0.92776225
FRO_Premotor__BG_Accumbens,0.704296916,0.8955744,1.189332534,0.853217058
OCC_Lateral__BG_Accumbens,0.709326155,0.69927443,1.43269982,1.077747257
INS_Anterior__THL_Thalamus,0.714362224,0.191654538,0.679250484,0.987792273
INS_Anterior__BG_Pallidum,0.7194052,0.289848921,0.483882037,1.060622313
OLF_Anterior__OCC_Medial,0.724455164,0.982277452,0.575691066,0.52235026
OLF_Piriform__THL_Thalamus,0.729512192,0.916991304,0.689249409,0.760007241
OLF_Piriform__TEM_Hippocampus,0.734576366,1.060622313,0.464739354,0.689249409
OLF_Piriform__PAR,0.739647765,0.749812563,0.556230151,0.624696461
TEM_Amygdala__TEM_Medial,0.74472647,0.59523057,0.709326155,1.043620723
OLF_Anterior__TEM_Amygdala,0.749812563,0.679250484,0.837488517,0.37451243
OLF_Piriform__OLF_Anterior,0.754906126,0.649404327,0.261748414,0.289848921
TEM_Inferior__TEM_Hippocampus,0.760007241,1.118207253,1.072024999,0.724455164
TEM_Amygdala__FRO_Precentral,0.765115991,0.624696461,0.790777242,0.82704783
TEM_Amygdala__FRO_Prefrontal,0.770232462,0.644451166,0.832263736,1.037980285
OCC_Medial__INS_Anterior,0.775356736,0.459962563,0.629626587,2.25046799
TEM_Hippocampus__TEM_Inferior,0.780488901,1.153478369,1.089234331,0.739647765
TEM_Superior__INS_Posterior,0.78562904,0.879617747,1.288094407,1.667029295
OLF_Piriform__TEM_Medial,0.790777242,1.089234331,0.503084394,0.609939313
INS_Posterior__THL_Hypothalamus,0.795933594,0.78562904,1.060622313,0.765115991
INS_Anterior__FRO_Premotor,0.801098183,0.17298458,0.61977192,0.590338097
TEM_Amygdala__CIN_Anterior,0.806271099,0.639503869,0.541683547,0.965803701
BG_CaudoPutamen__INS_Posterior,0.811452431,0.816642269,1.009972689,0.770232462
FRO_Precentral__BG_Accumbens,0.816642269,0.674260619,1.177314061,0.821840705
TEM_Superior__TEM_Amygdala,0.821840705,0.801098183,1.118207253,1.405548248
CIN_Anterior__INS_Anterior,0.82704783,0.365072342,0.639503869,1.575222331
BG_Accumbens__THL_Thalamus,0.832263736,0.517527627,0.729512192,0.507894755
BG_CaudoPutamen__CIN_Posterior,0.837488517,1.066316733,1.037980285,0.847965083
TEM_Inferior__TEM_Medial,0.842722268,1.189332534,1.112382887,0.749812563
THL_Hypothalamus__TEM_Superior,0.847965083,0.536843688,0.890245592,1.531192685
TEM_Medial__INS_Posterior,0.853217058,0.965803701,1.352434719,1.201420012
INS_Posterior__INS_Anterior,0.85847829,0.322700303,1.13577221,0.96033562
BG_CaudoPutamen__CIN_Anterior,0.863748876,1.072024999,0.85847829,0.869028914
BG_CaudoPutamen__TEM_Hippocampus,0.869028914,1.171330248,1.066316733,0.976774497
CIN_Anterior__BG_Accumbens,0.874318504,0.832263736,0.998858005,0.922371479
OCC_Medial__BG_Accumbens,0.879617747,0.90091327,1.372172808,1.129901754
OLF_Piriform__FRO_Precentral,0.884926742,1.032352998,0.52235026,0.556230151
BG_CaudoPutamen__OCC_Lateral,0.890245592,1.015548704,0.971283286,0.874318504
TEM_Amygdala__PAR,0.8955744,0.821840705,0.933163727,0.998858005
THL_Thalamus__INS_Anterior,0.90091327,0.507894755,0.724455164,2.560776179
TEM_Medial__BG_Accumbens,0.906262307,0.775356736,1.887002385,1.392124612
OLF_Anterior__THL_Thalamus,0.911621616,1.195367555,0.739647765,0.585450732
INS_Anterior__PAR,0.916991304,0.20566087,0.734576366,0.790777242
OLF_Anterior__PAR,0.922371479,0.987792273,0.634562366,0.450419231
TEM_Amygdala__CIN_Posterior,0.92776225,0.634562366,0.816642269,0.949433508
THL_Hypothalamus__FRO_Premotor,0.933163727,0.754906126,0.770232462,0.933163727
TEM_Hippocampus__BG_Accumbens,0.938576021,0.806271099,2.000986811,1.495365476
TEM_Amygdala__TEM_Hippocampus,0.943999243,0.689249409,0.82704783,1.22580797
INS_Anterior__BG_CaudoPutamen,0.949433508,0.445652574,0.704296916,1.446432606
PAR__BG_Accumbens,0.954878928,0.92776225,1.460273418,1.072024999
TEM_Amygdala__OCC_Lateral,0.96033562,0.605031111,0.765115991,0.971283286
FRO_Premotor__INS_Anterior,0.965803701,0.318002172,0.780488901,1.378799298
CIN_Posterior__OLF_Anterior,0.971283286,1.124046822,0.7194052,0.570818633
BG_CaudoPutamen__OCC_Medial,0.976774497,1.219683878,1.106573567,0.982277452
THL_Thalamus__BG_Accumbens,0.982277452,0.993319083,1.628134062,1.207490092
TEM_Medial__TEM_Inferior,0.987792273,1.339391155,1.219683878,0.863748876
CIN_Posterior__THL_Hypothalamus,0.993319083,0.976774497,1.02113734,0.938576021
OCC_Lateral__OLF_Anterior,0.998858005,1.054941599,0.69425862,0.56108824
FRO_Precentral__OLF_Anterior,1.004409165,1.231950458,0.69927443,0.488676883
INS_Posterior__TEM_Superior,1.009972689,1.147560351,1.398823996,1.269203029
BG_CaudoPutamen__FRO_Premotor,1.015548704,1.207490092,0.982277452,0.795933594
OLF_Piriform__BG_Pallidum,1.02113734,0.7194052,0.605031111,0.664299716
OCC_Lateral__THL_Hypothalamus,1.026738728,0.938576021,1.183314764,0.911621616
FRO_Prefrontal__TEM_Superior,1.032352998,1.244291418,1.495365476,2.031007376
PAR__INS_Anterior,1.037980285,0.474303473,0.847965083,2.041162738
THL_Hypothalamus__TEM_Medial,1.043620723,0.780488901,0.906262307,1.30717042
TEM_Hippocampus__FRO_Premotor,1.049274448,1.538450418,1.147560351,1.153478369
OLF_Piriform__FRO_Premotor,1.054941599,1.256708385,0.74472647,0.734576366
INS_Anterior__FRO_Precentral,1.060622313,0.196322863,0.922371479,0.684246722
OLF_Anterior__FRO_Precentral,1.066316733,1.352434719,0.590338097,0.369791201
THL_Hypothalamus__FRO_Precentral,1.072024999,0.724455164,0.949433508,1.054941599
THL_Hypothalamus__FRO_Prefrontal,1.077747257,0.874318504,1.015548704,1.453339347
TEM_Amygdala__OCC_Medial,1.083483652,0.714362224,0.863748876,1.171330248
BG_CaudoPutamen__BG_Accumbens,1.089234331,0.890245592,1.153478369,0.498278001
INS_Posterior__TEM_Amygdala,1.094999442,1.02113734,1.332903145,0.954878928
PAR__OLF_Anterior,1.100779137,1.385449807,0.879617747,0.654363425
THL_Hypothalamus__CIN_Anterior,1.106573567,0.853217058,0.760007241,1.29443226
TEM_Hippocampus__THL_Hypothalamus,1.112382887,0.922371479,1.22580797,1.032352998
TEM_Hippocampus__BG_Pallidum,1.118207253,1.13577221,1.207490092,1.488289692
FRO_Prefrontal__INS_Posterior,1.124046822,1.165363144,1.345901595,1.219683878
FRO_Precentral__INS_Anterior,1.129901754,0.313305821,0.965803701,1.281777067
TEM_Hippocampus__FRO_Precentral,1.13577221,1.43269982,1.385449807,1.288094407
TEM_Hippocampus__FRO_Prefrontal,1.141658354,1.747862319,1.575222331,1.887002385
